Team,Pitcher,2017,2018,2019,2020,2021,After June 3,Change 2021
Reds,Sean Doolittle,23.7,23.71,24.01,24.48,25.09,24.79,-1.2
Reds,Sonny Gray,27.29,28.65,30.5,30.37,29.8,27.87,-6.48
Reds,Tejay Antone,,,,30.64,33.18,33.18,0
Reds,Tyler Mahle,24.21,23.7,24.93,26.61,27.17,25.62,-5.7
Reds,Vladimir Gutierrez,,,,,24.39,27.18,11.44
Reds,Wade Miley,25.26,26.18,25.4,26.37,25.48,25.49,0.04
Rockies,Antonio Senzatela,23.64,23.52,23.6,24.11,23.29,23.6,1.33
Rockies,Austin Gomber,,25.08,,25.81,24.89,24.22,-2.69
Rockies,Ben Bowden,,,,,26.47,26.1,-1.4
Rockies,Carlos Estevez,23.68,,23.91,23.02,21.88,22.04,0.73
Rockies,Chi Chi Gonzalez,,,26.74,25.78,27.02,25.72,-4.81
Rockies,Daniel Bard,,,,28.44,30.03,30.17,0.47
Rockies,German Marquez,25.45,25.82,25.88,25.5,25.21,25.94,2.9
Rockies,Jhoulys Chacin,25.83,25.31,25.53,25.54,25.86,25.47,-1.51
Rockies,Jon Gray,23.75,23.74,23.67,24.39,24.23,23.39,-3.47
Rockies,Justin Lawrence,,,,,28.36,27.04,-4.65
Rockies,Kyle Freeland,24.15,23.94,24.46,25.14,24.82,25.29,1.89
Rockies,Lucas Gilbreath,,,,,27.91,27.34,-2.04
Rockies,Mychal Givens,25.1,25.32,25.53,26.13,27.49,27.12,-1.35
Rockies,Robert Stephenson,25.61,26.42,29.47,30.88,31.55,33.64,6.62
Rockies,Tyler Kinley,,25.01,26.58,26.87,26.79,26.39,-1.49
Rockies,Yency Almonte,,24.29,24.3,24.34,24.37,24.01,-1.48
Royals,Brad Keller,,24.67,25.23,26.89,25.5,26.04,2.12
Royals,Brady Singer,,,,25.73,25.51,26.01,1.96
Royals,Carlos Hernandez,,,,24.36,24.6,25.47,3.54
Royals,Danny Duffy,25.87,26.24,25.91,25.56,26.66,26.1,-2.1
Royals,Ervin Santana,24.53,23.83,24.65,,25.77,25.79,0.08
Royals,Greg Holland,25.42,25,25.01,25.66,25.29,24.55,-2.93
Royals,Jake Brentz,,,,,24.01,22.69,-5.5
Royals,Josh Staumont,,,26.76,27.38,26.89,26.97,0.3
Royals,Kris Bubic,,,,24.66,23.55,22.38,-4.97
Royals,Kyle Zimmer,,,23.77,23.66,25.15,24.61,-2.15
Royals,Mike Minor,28.41,27.73,29.01,29.09,29.33,28.34,-3.38
Royals,Ronald Bolanos,,,25.83,26.25,,26.67,
Royals,Scott Barlow,,27.9,27.39,27.65,27.07,28.22,4.25
Royals,Wade Davis,27,27.97,28.55,28.22,28.17,28.53,1.28
Tigers,Alex Lange,,,,,25.92,23.42,-9.65
Tigers,Bryan Garcia,,,25.67,23.99,23.77,23.25,-2.19
Tigers,Buck Farmer,25.3,25.3,25.5,24.14,26.66,23.88,-10.43
Tigers,Casey Mize,,,,22.99,23.27,22.83,-1.89
Tigers,Daniel Norris,25.91,27.39,25.76,24.69,24.45,24.7,1.02
Tigers,Derek Holland,24.55,25.94,26.26,26.83,26.73,25.93,-2.99
Tigers,Gregory Soto,,,25.03,25.36,25.63,25.84,0.82
Tigers,Joe Jimenez,25.34,26.19,26.43,26.18,27.17,26.68,-1.8
Tigers,Jose Cisnero,,,25.52,25.33,25.96,25.72,-0.92
Tigers,Jose Urena,23.16,22.65,23.4,24.03,23.45,22.01,-6.14
Tigers,Kyle Funkhouser,,,,23.48,22.97,23.57,2.61
Tigers,Matthew Boyd,25.41,26.7,27.32,26.47,26.69,26.2,-1.84
Tigers,Michael Fulmer,22.33,23.58,,23.55,23.96,23.47,-2.05
Tigers,Spencer Turnbull,,25.78,26.16,26.54,26.79,26.12,-2.5
Tigers,Tarik Skubal,,,,25.05,23.46,22.63,-3.54
Tigers,Tyler Alexander,,,25.62,24.42,25.25,24.72,-2.1
Twins,Alex Colome,23.13,22.86,23.33,23.53,23.56,23.47,-0.38
Twins,Bailey Ober,,,,,26.77,24.27,-9.34
Twins,Caleb Thielbar,,,,30.55,29.02,26.8,-7.65
Twins,Hansel Robles,25.74,25.82,23.84,21.79,21.69,22.12,1.98
Twins,J.A. Happ,24.58,24.24,24.27,24.98,26.06,24.8,-4.83
Twins,Jorge Alcala,,,25.71,26.03,25.15,25.32,0.68
Twins,Jose Berrios,25.02,24.8,24.43,23.46,24.61,23.39,-4.96
Twins,Juan Minaya,25.31,23.67,23.6,,21.87,21.44,-1.97
Twins,Kenta Maeda,26.67,26.23,25.49,25.29,25.29,26.35,4.19
Twins,Luke Farrell,25.82,26.68,29.07,29.81,29.76,28.95,-2.72
Twins,Matt Shoemaker,21.41,21.37,20.69,21.04,21.23,19.09,-10.08
Twins,Michael Pineda,22.95,,22.2,22.27,22.36,21.95,-1.83
Twins,Randy Dobnak,,,22.46,23.68,23.86,23.13,-3.06
Twins,Shaun Anderson,,,26.85,28.34,30.05,30.44,1.3
Twins,Taylor Rogers,26.59,27.36,26.15,26.95,26.21,26.15,-0.23
Twins,Tyler Duffey,26.36,27.06,27.27,27.34,28.12,27.15,-3.45
White Sox,Aaron Bummer,21.78,22.02,22.08,21.88,22.62,24.37,7.74
White Sox,Carlos Rodon,23.68,24.97,24.99,25.02,24.46,24.84,1.55
White Sox,Codi Heuer,,,,24.24,24.76,24.63,-0.53
White Sox,Dallas Keuchel,23.61,23.83,23.49,24.32,22.85,23.14,1.27
White Sox,Dylan Cease,,,27.4,28.12,29.81,28.95,-2.88
White Sox,Evan Marshall,24.32,25.49,24.55,25.19,25.53,25.62,0.35
White Sox,Garrett Crochet,,,,25.2,24.6,24.17,-1.75
White Sox,Jose Ruiz,24.29,24.49,24.33,25.19,25.24,24.66,-2.3
White Sox,Lance Lynn,25.29,25.36,26.49,27.18,26.49,25.81,-2.57
White Sox,Liam Hendriks,23.46,23.67,24.57,25.45,25.01,24.8,-0.84
White Sox,Lucas Giolito,23.81,22.92,23.53,22.37,22.96,22.98,0.09
White Sox,Matt Foster,,,,23.61,23.65,23.69,0.17
White Sox,Ryan Burr,,22.71,23.37,,25.26,24.22,-4.12
White Sox,Zack Burdi,,,,27.49,27.1,26.28,-3.03
Yankees,Aroldis Chapman,25.02,26.01,26.49,25.32,24.54,23.83,-2.89
Yankees,Brooks Kriske,,,,22.09,20.06,17.48,-12.86
Yankees,Chad Green,25.7,25.21,25.48,26.86,28.15,27.63,-1.85
Yankees,Domingo German,28.24,28.09,28.37,,27.89,28.26,1.33
Yankees,Gerrit Cole,24.14,27.04,27.87,27.67,27.66,26.04,-5.86
Yankees,Jameson Taillon,25.24,25.95,26.89,,28.23,27.23,-3.54
Yankees,Jonathan Loaisiga,,26.26,26.67,24.96,24.97,24.67,-1.2
Yankees,Jordan Montgomery,25.69,25.08,24.57,24.39,24.95,24,-3.81
Yankees,Lucas Luetge,,,,,31.75,31.58,-0.54
Yankees,Luis Cessa,25.11,26.35,26.48,26.73,27.67,27.16,-1.84
Yankees,Michael King,,,25.2,25.11,25.24,26.36,4.44
Yankees,Nestor Cortes,,25.68,24.78,25.78,25.33,24.91,-1.66
Yankees,Nick Nelson,,,,23.19,22.7,22.63,-0.31
Yankees,Wandy Peralta,23,23.36,24.46,24.98,25.05,23.82,-4.91
Yankees,Zack Britton,22.38,22.24,22.6,23.17,,22.04,
